일자,자치구,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2024-01-24,강남구,-7.0,-10.1,-3.2,0.0,0.0114,0.0293,0.36,0.0022,22.0,12.0
2024-01-25,강남구,-4.0,-8.5,-0.2,0.0,0.0192,0.0237,0.4,0.0025,22.0,14.0
2024-01-26,강남구,-1.1,-6.5,4.4,0.0,0.0342,0.0139,0.55,0.0024,32.0,22.0
2024-01-27,강남구,0.1,-4.6,5.5,0.0,0.0344,0.02,0.67,0.0028,53.0,38.0
2024-01-28,강남구,-0.5,-4.3,3.9,0.0,0.0231,0.028,0.44,0.0025,29.0,20.0
2024-01-29,강남구,-0.2,-5.4,5.3,0.0,0.0358,0.0171,0.61,0.0025,44.0,32.0
2024-01-30,강남구,0.6,-4.5,8.3,0.0,0.0461,0.0108,0.68,0.0025,58.0,42.0
2024-01-31,강남구,5.0,-0.8,11.4,0.0,0.0436,0.0174,0.64,0.0031,54.0,38.0
2024-02-01,강남구,3.7,0.2,8.5,0.0,0.0289,0.0304,0.72,0.0031,87.0,58.0
2024-02-02,강남구,3.8,0.7,8.6,0.0,0.0382,0.0164,0.53,0.0027,42.0,30.0
2024-02-03,강남구,4.8,-1.0,9.1,0.0,0.033,0.0157,0.46,0.0025,33.0,23.0
2024-02-04,강남구,7.6,3.6,12.0,0.0,0.0226,0.023,0.37,0.0025,20.0,14.0
2024-02-05,강남구,2.9,0.3,7.1,4.0,0.0142,0.0345,0.26,0.0021,5.0,3.0
2024-02-06,강남구,2.0,0.2,4.3,0.0,0.0245,0.0246,0.37,0.002,13.0,9.0
2024-02-07,강남구,1.5,-1.2,3.5,0.0,0.0262,0.0207,0.56,0.0021,34.0,28.0
2024-02-08,강남구,1.2,-3.4,6.6,0.0,0.0349,0.0169,0.62,0.0025,39.0,30.0
2024-02-09,강남구,1.3,-2.8,6.6,0.0,,,,,,
2024-02-10,강남구,1.7,-2.6,7.5,0.0,,,,,,
2024-02-11,강남구,1.8,-3.0,6.7,0.0,0.0194,0.036,0.56,0.0025,61.0,47.0
2024-02-12,강남구,3.6,-2.7,11.2,0.0,0.0275,0.0266,0.65,0.0026,68.0,51.0
2024-02-13,강남구,8.2,0.7,15.2,0.0,0.0401,0.0204,0.64,0.0027,67.0,42.0
2024-02-14,강남구,12.8,8.1,18.9,0.0,0.0432,0.0165,0.61,0.0031,50.0,30.0
2024-02-15,강남구,5.7,1.8,12.1,9.0,0.019,0.0299,0.37,0.0024,22.0,16.0
2024-02-16,강남구,3.4,-1.4,8.3,0.0,0.0272,0.0198,0.42,0.0024,22.0,15.0
2024-02-17,강남구,4.7,-1.0,12.0,0.0,0.0353,0.0168,0.52,0.0027,39.0,28.0
2024-02-18,강남구,6.3,0.0,10.5,16.0,0.0339,0.0123,0.49,0.0024,34.0,23.0
2024-02-19,강남구,9.7,5.3,12.4,7.0,0.0337,0.0096,0.57,0.0026,13.0,8.0
2024-02-20,강남구,5.7,4.2,8.3,2.5,0.0248,0.0143,0.47,0.0023,29.0,16.0
2024-02-21,강남구,2.4,0.3,4.9,19.5,0.0145,0.0283,0.28,0.0019,3.0,1.0
2024-02-22,강남구,0.7,-0.8,2.2,7.5,0.0147,0.0308,0.27,0.0018,5.0,2.0
2024-02-23,강남구,2.6,-0.5,7.2,0.0,0.0134,0.0337,0.26,0.0018,8.0,4.0
2024-02-24,강남구,2.7,-0.5,7.0,2.0,0.0138,0.0316,0.28,0.0018,13.0,7.0
2024-02-25,강남구,3.3,1.0,7.1,1.5,0.0133,0.0298,0.32,0.0018,11.0,8.0
2024-02-26,강남구,4.7,-1.4,10.8,0.0,0.0236,0.0218,0.4,0.0021,27.0,17.0
2024-02-27,강남구,5.9,1.8,10.4,0.0,0.0168,0.0303,0.29,0.0019,18.0,9.0
2024-02-28,강남구,7.3,4.1,10.9,0.0,0.0245,0.0253,0.36,0.0023,32.0,17.0
2024-02-29,강남구,5.6,1.4,10.4,0.0,0.0321,0.0212,0.54,0.0025,56.0,35.0
2024-03-01,강남구,-3.0,-5.9,1.4,0.0,0.0069,0.0409,0.28,0.0022,34.0,11.0
2024-03-02,강남구,0.1,-6.8,5.1,0.0,0.0129,0.0358,0.33,0.0021,30.0,12.0
2024-03-03,강남구,5.0,0.5,9.2,0.0,0.0182,0.0399,0.55,0.0022,112.0,62.0
2024-03-04,강남구,6.1,-1.4,12.3,0.0,0.039,0.021,0.54,0.0025,74.0,39.0
2024-03-05,강남구,8.5,6.1,11.7,0.0,0.0325,0.0263,0.42,0.0025,44.0,22.0
2024-03-06,강남구,7.0,3.4,11.4,0.0,0.0199,0.0324,0.27,0.0021,13.0,7.0
2024-03-07,강남구,5.0,2.7,9.1,1.0,0.0203,0.0316,0.2,0.0021,30.0,18.0
2024-03-08,강남구,3.5,0.6,7.5,0.0,0.0149,0.0398,0.36,0.0024,42.0,23.0
2024-03-09,강남구,2.9,-1.0,7.7,0.0,0.0142,0.0357,0.32,0.0022,31.0,17.0
2024-03-10,강남구,4.7,-2.0,11.4,0.0,0.0211,0.0332,0.34,0.0024,28.0,17.0
2024-03-11,강남구,6.8,2.2,11.8,0.0,0.0371,0.0221,0.39,0.0026,32.0,18.0
2024-03-12,강남구,7.1,4.6,10.0,1.0,0.0388,0.0203,0.43,0.0024,31.0,19.0
2024-03-13,강남구,6.9,0.6,13.0,0.0,0.0235,0.0412,0.39,0.0028,42.0,24.0
2024-03-14,강남구,8.7,2.5,16.1,0.0,0.026,0.0465,0.39,0.003,57.0,34.0
2024-03-15,강남구,9.2,2.6,15.3,0.0,0.0257,0.0413,0.37,0.003,46.0,28.0
2024-03-16,강남구,11.3,3.9,19.1,0.0,0.0308,0.0386,0.44,0.0033,51.0,31.0
2024-03-17,강남구,9.8,6.6,13.2,0.0,0.0124,0.0461,0.31,0.0025,89.0,20.0
2024-03-18,강남구,8.3,2.0,14.9,0.0,0.0235,0.0311,0.33,0.0027,21.0,9.0
2024-03-19,강남구,7.4,5.0,11.9,0.0,0.0211,0.0377,0.39,0.0025,48.0,25.0
2024-03-20,강남구,5.5,2.6,9.8,0.0,0.0125,0.0404,0.34,0.0021,37.0,23.0
2024-03-21,강남구,5.9,-0.5,12.2,0.0,0.0191,0.0411,0.35,0.0027,33.0,20.0
2024-03-22,강남구,10.6,3.4,17.1,13.0,0.0293,0.032,0.4,0.0027,37.0,19.0
2024-03-23,강남구,13.6,9.9,18.5,0.0,0.0184,0.0537,0.38,0.0022,59.0,29.0
2024-03-24,강남구,15.8,8.0,23.5,0.0,0.0164,0.044,0.36,0.0022,30.0,16.0
2024-03-25,강남구,11.1,7.4,14.5,6.5,0.0186,0.0363,0.3,0.0021,19.0,9.0
2024-03-26,강남구,7.8,2.9,12.6,16.0,0.0146,0.039,0.28,0.0019,6.0,2.0
2024-03-27,강남구,11.1,4.7,17.5,0.0,0.0263,0.0288,0.37,0.0024,22.0,15.0
2024-03-28,강남구,10.7,8.7,12.1,1.5,0.0309,0.0224,0.44,0.0025,23.0,16.0
2024-03-29,강남구,8.4,5.5,13.2,1.5,0.0215,0.0353,0.42,0.0022,236.0,49.0
2024-03-30,강남구,9.5,3.1,17.0,0.0,0.0251,0.035,0.41,0.0026,89.0,25.0
2024-03-31,강남구,11.4,3.1,17.8,0.0,0.0152,0.0415,0.36,0.0024,39.0,12.0
2024-04-01,강남구,12.5,5.3,19.9,0.0,0.0273,0.0374,0.39,0.0028,40.0,14.0
2024-04-02,강남구,15.4,6.6,25.2,0.0,0.0432,0.0309,0.51,0.0032,50.0,23.0
2024-04-03,강남구,15.6,12.9,18.0,1.5,0.035,0.0285,0.43,0.0028,38.0,20.0
2024-04-04,강남구,15.8,12.3,20.7,0.0,0.0175,0.0462,0.32,0.0024,29.0,14.0
2024-04-05,강남구,14.1,10.2,19.1,0.0,0.016,0.0506,0.33,0.0026,38.0,20.0
2024-04-06,강남구,13.3,7.7,19.6,0.0,0.0306,0.0438,0.48,0.0031,61.0,37.0
2024-04-07,강남구,15.2,6.8,24.1,0.0,0.027,0.0518,0.49,0.0031,53.0,33.0
2024-04-08,강남구,16.8,10.1,22.9,0.0,0.0392,0.0367,0.5,0.0029,53.0,29.0
2024-04-09,강남구,16.0,11.6,21.3,0.0,0.0163,0.0464,0.32,0.0023,38.0,18.0
2024-04-10,강남구,14.4,10.5,19.1,0.0,0.013,0.0498,0.31,0.0024,40.0,18.0
2024-04-11,강남구,15.9,12.6,21.4,0.0,0.0258,0.0404,0.38,0.0026,47.0,20.0
2024-04-12,강남구,17.6,10.7,25.0,0.0,0.033,0.0341,0.44,0.0029,48.0,26.0
2024-04-13,강남구,19.4,10.6,28.0,0.0,0.0236,0.0408,0.36,0.0026,39.0,22.0
2024-04-14,강남구,20.7,12.0,29.8,0.0,0.0222,0.0499,0.42,0.0033,42.0,25.0
2024-04-15,강남구,16.2,11.7,20.7,15.0,0.0176,0.0405,0.32,0.0028,20.0,12.0
2024-04-16,강남구,14.2,11.7,18.9,3.0,0.0186,0.0468,0.43,0.0025,75.0,29.0
2024-04-17,강남구,15.5,9.7,22.6,0.0,0.0286,0.0292,0.5,0.0026,145.0,55.0
2024-04-18,강남구,17.9,10.0,26.3,0.0,0.0332,0.0328,0.49,0.0031,115.0,34.0
2024-04-19,강남구,18.2,10.7,25.8,0.0,0.0266,0.0673,0.44,0.0039,88.0,32.0
2024-04-20,강남구,14.9,13.2,18.0,3.5,0.0239,0.0436,0.45,0.0027,62.0,29.0
2024-04-21,강남구,17.7,13.5,22.0,0.0,0.0093,0.0493,0.26,0.0021,15.0,6.0
2024-04-22,강남구,19.3,15.4,25.1,0.0,0.0143,0.0519,0.27,0.0021,31.0,17.0
2024-04-23,강남구,17.9,13.6,24.5,0.0,0.0136,0.0495,0.27,0.002,21.0,11.0
2024-04-24,강남구,13.6,11.3,19.0,14.5,0.0139,0.0358,0.28,0.002,11.0,6.0
2024-04-25,강남구,15.4,10.7,22.4,0.0,0.019,0.0546,0.39,0.0022,32.0,22.0
2024-04-26,강남구,18.1,11.4,26.6,0.0,0.0301,0.0454,0.46,0.0026,66.0,33.0
2024-04-27,강남구,18.5,10.6,27.4,0.0,0.0276,0.049,0.49,0.0031,52.0,29.0
2024-04-28,강남구,20.5,11.2,29.5,0.0,0.0228,0.0581,0.43,0.0029,33.0,20.0
2024-04-29,강남구,21.1,17.3,26.4,0.0,0.0155,0.0573,0.31,0.0023,39.0,20.0
2024-04-30,강남구,19.0,15.9,23.4,0.0,0.0203,0.0515,0.42,0.0032,49.0,31.0
2024-05-01,강남구,18.8,14.8,24.6,0.0,0.0112,0.053,0.28,0.0023,23.0,14.0
2024-05-02,강남구,18.9,13.4,25.2,0.0,0.021,0.0477,0.33,0.0026,32.0,19.0
2024-05-03,강남구,19.5,11.0,28.9,0.0,0.0303,0.0545,0.4,0.0032,45.0,26.0
2024-05-04,강남구,21.5,12.7,29.7,0.0,0.032,0.0673,0.48,0.0038,53.0,33.0
2024-05-05,강남구,17.9,15.5,20.9,37.0,0.0152,0.0335,0.35,0.0025,24.0,16.0
2024-05-06,강남구,14.5,13.7,16.3,10.5,0.0101,0.0491,0.3,0.0021,10.0,6.0
2024-05-07,강남구,13.8,12.4,15.7,3.5,0.0155,0.0328,0.32,0.0021,21.0,13.0
2024-05-08,강남구,16.0,9.4,23.1,0.0,0.0133,0.0392,0.26,0.0021,19.0,9.0
2024-05-09,강남구,16.8,10.3,23.4,0.0,0.0177,0.0495,0.31,0.0026,27.0,15.0
2024-05-10,강남구,18.6,12.5,25.5,0.0,0.0152,0.0553,0.33,0.0028,27.0,14.0
2024-05-11,강남구,17.5,13.0,23.6,23.0,0.0133,0.0434,0.31,0.0026,19.0,9.0
2024-05-12,강남구,17.4,11.6,23.1,0.0,0.0105,0.046,0.28,0.0028,65.0,14.0
2024-05-13,강남구,18.9,11.1,25.9,0.0,0.0204,0.0431,0.35,0.0026,30.0,14.0
2024-05-14,강남구,19.3,11.6,26.2,0.0,0.0211,0.0517,0.32,0.0029,25.0,14.0
2024-05-15,강남구,13.1,7.6,21.1,26.5,0.015,0.0467,0.3,0.0027,23.0,9.0
2024-05-16,강남구,14.5,7.7,21.1,1.0,0.0107,0.0455,0.25,0.0025,13.0,5.0
2024-05-17,강남구,19.0,11.2,26.4,0.0,0.0197,0.062,0.41,0.0031,40.0,19.0
2024-05-18,강남구,21.0,13.9,28.1,0.0,0.0193,0.0431,0.36,0.003,27.0,13.0
2024-05-19,강남구,22.0,15.3,29.4,0.0,0.013,0.0497,0.28,0.0027,24.0,12.0
2024-05-20,강남구,20.3,17.5,24.5,0.0,0.0149,0.0385,0.26,0.0032,28.0,15.0
2024-05-21,강남구,22.8,17.1,29.4,0.0,0.0197,0.0461,0.33,0.0025,40.0,24.0
2024-05-22,강남구,21.6,17.2,27.5,0.0,0.0225,0.0519,0.41,0.0033,57.0,37.0
2024-05-23,강남구,21.6,17.0,28.1,0.0,0.0228,0.0441,0.31,0.0033,32.0,20.0
2024-05-24,강남구,21.1,15.9,25.5,0.0,0.0186,0.0375,0.32,0.0025,37.0,25.0
2024-05-25,강남구,21.8,19.5,25.0,0.0,0.0147,0.0456,0.27,0.0023,29.0,15.0
2024-05-26,강남구,20.5,17.7,25.6,6.5,0.0113,0.0453,0.29,0.0024,24.0,14.0
2024-05-27,강남구,19.8,15.2,24.2,0.0,0.0115,0.0502,0.34,0.0023,24.0,10.0
2024-05-28,강남구,20.6,14.3,27.1,0.0,0.0153,0.0371,0.27,0.0023,16.0,7.0
2024-05-29,강남구,21.9,14.7,28.8,0.0,0.0246,0.0338,0.33,0.0028,24.0,13.0
2024-05-30,강남구,21.1,16.6,25.7,0.0,0.034,0.0346,0.41,0.0029,29.0,18.0
2024-05-31,강남구,21.3,16.7,27.2,0.0,0.0173,0.0544,0.31,0.0028,24.0,16.0
2024-06-01,강남구,21.3,18.0,26.9,0.0,0.0107,0.0503,0.28,0.0022,27.0,16.0
2024-06-02,강남구,21.6,15.5,27.8,0.0,0.0096,0.0529,0.27,0.0024,20.0,11.0
2024-06-03,강남구,22.8,15.7,29.3,0.0,0.0134,0.0361,0.25,0.002,13.0,7.0
2024-06-04,강남구,23.4,15.4,30.2,0.0,0.0147,0.0411,0.25,0.0022,18.0,9.0
2024-06-05,강남구,24.2,17.3,31.7,0.0,0.0299,0.0459,0.39,0.0032,37.0,23.0
2024-06-06,강남구,24.5,19.3,32.1,0.0,0.0219,0.0574,0.37,0.0031,40.0,29.0
2024-06-07,강남구,24.0,18.3,29.2,0.0,0.0202,0.0582,0.32,0.0029,30.0,20.0
2024-06-08,강남구,20.3,17.6,25.5,17.0,0.0153,0.0409,0.32,0.0025,23.0,17.0
2024-06-09,강남구,23.5,17.2,29.8,0.0,0.0144,0.0521,0.35,0.0029,29.0,20.0
2024-06-10,강남구,25.4,18.7,32.2,0.0,0.0169,0.0678,0.42,0.0032,43.0,28.0
2024-06-11,강남구,26.0,21.8,33.0,0.0,0.014,0.0806,0.46,0.0028,63.0,41.0
2024-06-12,강남구,25.4,18.6,33.5,0.0,0.0202,0.0613,0.34,0.0032,30.0,18.0
2024-06-13,강남구,26.9,19.8,33.7,0.0,0.0265,0.0466,0.34,0.0034,32.0,19.0
2024-06-14,강남구,27.4,21.2,34.2,0.0,0.0281,0.0407,0.36,0.0041,34.0,22.0
2024-06-15,강남구,24.6,21.3,29.1,3.5,0.0154,0.0236,0.27,0.0027,27.0,21.0
2024-06-16,강남구,24.9,20.0,31.0,0.0,0.0107,0.0466,0.3,0.0026,23.0,16.0
2024-06-17,강남구,25.0,17.7,31.5,0.0,0.019,0.0512,0.3,0.0027,21.0,13.0
2024-06-18,강남구,26.0,18.9,34.0,0.0,0.0226,0.0493,0.31,0.0029,25.0,16.0
2024-06-19,강남구,29.0,20.4,36.9,0.0,0.0237,0.0771,0.38,0.0035,42.0,29.0
2024-06-20,강남구,28.9,22.3,35.8,0.0,0.0197,0.078,0.41,0.0038,42.0,31.0
2024-06-21,강남구,28.1,22.0,34.6,0.0,0.028,0.0573,0.39,0.0043,37.0,26.0
2024-06-22,강남구,24.1,22.1,26.7,26.0,0.021,0.0301,0.41,0.0034,34.0,27.0
2024-06-23,강남구,25.5,22.0,31.0,10.0,0.0098,0.0351,0.28,0.0022,17.0,11.0
2024-06-24,강남구,24.6,21.1,29.6,0.0,0.0132,0.0517,0.34,0.0022,60.0,24.0
2024-06-25,강남구,23.5,19.3,27.5,0.0,0.012,0.0479,0.26,0.0026,19.0,9.0
2024-06-26,강남구,25.3,18.3,31.8,0.0,0.018,0.0508,0.29,0.0026,24.0,14.0
2024-06-27,강남구,25.7,19.7,30.8,0.0,0.0248,0.0473,0.35,0.0027,28.0,17.0
2024-06-28,강남구,26.7,20.4,32.9,0.0,0.0265,0.0681,0.38,0.0031,40.0,28.0
2024-06-29,강남구,26.6,21.8,33.2,26.0,0.019,0.0497,0.35,0.0027,32.0,23.0
2024-06-30,강남구,24.3,23.0,26.7,30.0,0.0088,0.0377,0.26,0.0021,19.0,13.0
2024-07-01,강남구,26.8,21.7,32.1,0.0,0.0158,0.0586,0.31,0.0022,29.0,18.0
2024-07-02,강남구,23.7,21.8,25.4,59.5,0.0208,0.0241,0.33,0.0022,19.0,12.0
2024-07-03,강남구,25.4,24.2,27.8,2.5,0.0121,0.0508,0.37,0.0024,27.0,17.0
2024-07-04,강남구,27.6,23.9,31.8,4.0,0.0146,0.046,0.44,0.0024,45.0,33.0
2024-07-05,강남구,24.2,21.7,27.5,15.5,0.0129,0.0613,0.36,0.0021,20.0,12.0
2024-07-06,강남구,25.8,21.8,31.9,6.5,0.0169,0.0265,0.35,0.002,31.0,20.0
2024-07-07,강남구,24.6,21.4,27.8,16.0,0.0127,0.0435,0.38,0.0019,23.0,15.0
2024-07-08,강남구,24.0,23.1,24.9,19.5,0.0181,0.0274,0.3,0.002,11.0,7.0
2024-07-09,강남구,24.6,22.4,27.1,2.5,0.019,0.0263,0.3,0.0021,14.0,10.0
2024-07-10,강남구,26.7,22.1,33.6,8.5,0.0166,0.0357,0.26,0.002,12.0,6.0
2024-07-11,강남구,26.1,23.4,30.3,0.0,0.0232,0.0402,0.42,0.0024,37.0,28.0
2024-07-12,강남구,26.2,22.2,31.0,0.0,0.025,0.0406,0.47,0.0024,39.0,29.0
2024-07-13,강남구,28.5,23.3,34.3,0.0,0.02,0.0496,0.51,0.0025,54.0,43.0
2024-07-14,강남구,28.9,25.0,33.2,0.0,0.0125,0.0408,0.34,0.0023,32.0,26.0
2024-07-15,강남구,28.8,24.5,33.3,0.0,0.0157,0.0374,0.26,0.0022,12.0,7.0
2024-07-16,강남구,27.0,24.0,31.7,11.0,0.017,0.0282,0.28,0.0021,13.0,9.0
2024-07-17,강남구,26.5,23.5,30.9,20.5,0.0155,0.012,0.22,0.0022,13.0,6.0
2024-07-18,강남구,24.7,23.3,27.3,122.5,0.0196,0.0175,0.28,0.0024,9.0,4.0
2024-07-19,강남구,27.6,23.8,32.5,0.0,0.0162,0.0442,0.32,0.0028,26.0,18.0
2024-07-20,강남구,27.5,24.9,31.7,19.0,0.0158,0.0424,0.27,0.0047,18.0,11.0
2024-07-21,강남구,27.2,23.4,31.7,4.0,0.0135,0.0553,0.24,0.0045,18.0,10.0
2024-07-22,강남구,27.5,25.7,29.4,47.0,0.0162,0.016,0.2,0.0037,15.0,7.0
2024-07-23,강남구,27.0,25.8,29.4,3.0,0.0154,0.0206,0.2,0.0032,11.0,6.0
2024-07-24,강남구,28.2,25.4,33.0,15.5,0.0186,0.0186,0.21,0.0035,16.0,8.0
2024-07-25,강남구,29.1,25.0,34.7,6.0,0.018,0.0299,0.22,0.0037,19.0,10.0
2024-07-26,강남구,28.6,24.7,34.9,14.0,0.0197,0.0214,0.22,0.0034,15.0,9.0
2024-07-27,강남구,28.9,26.8,33.7,16.5,0.0157,0.0184,0.23,0.0033,16.0,8.0
2024-07-28,강남구,30.0,27.5,33.9,0.0,0.0103,0.018,0.2,0.0033,17.0,8.0
2024-07-29,강남구,28.2,27.4,29.3,0.0,0.0114,0.024,0.16,0.0031,19.0,8.0
2024-07-30,강남구,29.5,26.9,33.6,0.0,0.0117,0.0411,0.2,0.002,21.0,12.0
2024-07-31,강남구,30.1,27.0,34.9,0.0,0.0089,0.0222,0.2,0.0011,17.0,10.0
2024-08-01,강남구,30.9,27.8,35.1,0.0,0.0085,0.0269,0.23,0.0012,20.0,12.0
2024-08-02,강남구,30.5,28.7,34.5,0.0,0.0088,0.0379,0.28,0.0026,30.0,18.0
2024-08-03,강남구,31.4,27.8,36.4,0.0,0.009,0.0598,0.37,0.0028,35.0,27.0
2024-08-04,강남구,32.5,26.7,38.0,0.0,0.0111,0.0578,0.39,0.0028,33.0,27.0
2024-08-05,강남구,29.7,25.7,34.7,19.0,0.016,0.0442,0.35,0.0028,31.0,25.0
2024-08-06,강남구,28.5,24.1,34.6,7.0,0.0158,0.0406,0.28,0.0029,17.0,11.0
2024-08-07,강남구,29.7,25.2,34.4,4.0,0.0139,0.0318,0.24,0.0026,25.0,17.0
2024-08-08,강남구,28.1,24.1,31.9,80.5,0.0144,0.0341,0.28,0.002,22.0,16.0
2024-08-09,강남구,29.4,24.8,35.0,0.0,0.0181,0.0458,0.33,0.0021,32.0,22.0
2024-08-10,강남구,30.3,26.0,35.2,0.0,0.0149,0.0529,0.35,0.0022,35.0,27.0
2024-08-11,강남구,30.6,27.2,35.2,0.0,0.0102,0.052,0.32,0.0021,32.0,26.0
2024-08-12,강남구,31.3,27.5,35.7,0.0,0.0174,0.0481,0.34,0.0021,33.0,24.0
2024-08-13,강남구,30.0,26.7,37.3,39.0,0.0169,0.0454,0.22,0.0021,30.0,22.0
2024-08-14,강남구,30.5,26.8,36.8,0.5,0.0194,0.0469,0.23,0.0021,27.0,20.0
2024-08-15,강남구,29.7,25.4,35.7,11.0,0.0128,0.0494,0.27,0.0025,25.0,18.0
2024-08-16,강남구,31.0,27.0,35.7,0.0,0.0146,0.0477,0.26,0.0023,27.0,17.0
2024-08-17,강남구,31.1,27.6,36.3,0.0,0.0122,0.0524,0.26,0.0022,21.0,16.0
2024-08-18,강남구,30.6,27.5,36.1,0.0,0.0088,0.0538,0.25,0.0023,21.0,16.0
2024-08-19,강남구,31.3,26.5,36.7,0.0,0.0147,0.0561,0.3,0.0023,27.0,19.0
2024-08-20,강남구,32.0,27.2,37.2,0.0,0.0136,0.0423,0.25,0.0022,27.0,19.0
2024-08-21,강남구,28.5,26.6,31.7,35.5,0.0109,0.0207,0.21,0.0022,15.0,8.0
2024-08-22,강남구,29.1,26.6,32.1,1.5,0.0099,0.0169,0.22,0.0023,19.0,8.0
2024-08-23,강남구,28.7,25.9,33.4,0.0,0.0094,0.083,0.39,0.003,35.0,29.0
2024-08-24,강남구,28.5,25.3,32.8,0.0,0.0158,0.0608,0.46,0.0024,41.0,32.0
2024-08-25,강남구,28.3,24.8,34.0,0.5,0.012,0.0607,0.48,0.0024,41.0,32.0
2024-08-26,강남구,26.8,22.5,32.3,22.0,0.0233,0.0435,0.51,0.0024,41.0,32.0
2024-08-27,강남구,26.3,24.4,30.8,0.5,0.0169,0.0284,0.34,0.0023,22.0,15.0
2024-08-28,강남구,28.6,22.6,34.3,0.0,0.0117,0.0436,0.27,0.0023,14.0,8.0
2024-08-29,강남구,28.8,24.0,33.8,0.0,0.0087,0.0398,0.24,0.0021,11.0,6.0
2024-08-30,강남구,29.0,24.1,34.5,0.0,0.0125,0.0374,0.28,0.0024,15.0,7.0
2024-08-31,강남구,28.1,23.2,33.7,0.0,0.011,0.0549,0.37,0.0025,38.0,21.0
2024-09-01,강남구,27.6,24.3,32.6,0.0,0.0108,0.0472,0.41,0.0025,32.0,24.0
2024-09-02,강남구,25.1,20.9,28.1,1.0,0.0166,0.0269,0.36,0.0024,21.0,15.0
2024-09-03,강남구,27.4,23.0,32.6,0.0,0.0131,0.0352,0.28,0.0022,13.0,6.0
2024-09-04,강남구,28.3,23.2,33.6,0.0,0.0153,0.048,0.32,0.0027,19.0,10.0
2024-09-05,강남구,26.7,25.1,31.1,22.5,0.0141,0.0409,0.33,0.0027,26.0,16.0
2024-09-06,강남구,23.9,22.8,25.9,17.0,0.0158,0.022,0.33,0.0022,16.0,9.0
2024-09-07,강남구,26.7,22.8,32.6,0.0,0.0142,0.0464,0.37,0.0023,23.0,14.0
2024-09-08,강남구,27.3,22.4,33.5,0.0,0.0117,0.0557,0.42,0.0023,31.0,24.0
2024-09-09,강남구,28.8,24.3,35.0,0.0,0.018,0.0466,0.41,0.0024,30.0,21.0
2024-09-10,강남구,29.8,25.2,35.4,0.0,0.0215,0.0455,0.41,0.0025,31.0,23.0
2024-09-11,강남구,29.4,25.4,35.8,0.0,0.0212,0.0441,0.4,0.0025,35.0,26.0
